exp_id,description,head_type,freeze_clip,lr,bb_lr,dropout,aug,epochs,val_acc,result_status,validation_protocol,parent_experiment,val_overlap_with_parent,notes
B0,regression baseline,linear,true,1e-3,,0,a0,20,0.6139,historical_valid,independent_split,,,original 20-epoch baseline reproduced
E0_best,cached features + lr=5e-3,linear,true,5e-3,,0,a0,50,0.6986,historical_valid,independent_split,,,best from 15-trial lr/wd sweep; frozen CLIP + cached features; val ≠ master split
E0_3e-3,cached features + lr=3e-3,linear,true,3e-3,,0,a0,50,0.6923,historical_valid,independent_split,,,2nd best from E0 sweep
E2,A1 augmentation (RandCrop+Flip),linear,true,3e-3,,0,a1,42,0.6915,historical_valid,independent_split,,,killed early at epoch 42
E2b,A1 + lr=5e-3 (align with E0),linear,true,5e-3,,0,a1,23,0.6977,historical_valid,independent_split,,,killed at epoch 23; A1≈A0 when lr matched
E3,A2 augmentation (+ColorJitter),linear,true,3e-3,,0,a2,24,0.6736,historical_valid,independent_split,,,killed; ColorJitter hurts fine-grained features
D3,dedup (CLIP centroid arbitration),linear,true,5e-3,,0,a0,50,0.7053,deprecated_old_split,independent_split,,,1892 conflict images removed; val ≠ E0 val; superseded by D3_STRICT on unified master split
D4A,dropout=0.3 on frozen head,linear,true,5e-3,,0.3,a0,50,0.7009,historical_valid,independent_split,,,dropout slightly hurts frozen; 37/50 epochs
D4B,dropout=0.5 on frozen head,linear,true,5e-3,,0.5,a0,50,0.6939,historical_valid,independent_split,,,too much dropout hurts frozen head
D4C,dropout=0.1 on frozen head,linear,true,5e-3,,0.1,a0,,,incomplete,independent_split,,,not completed
F0,frozen continue 50 extra epochs (E0 init),linear,true,3e-4,,,a0,1,0.6984,incomplete,independent_split,E0,?,only 1 epoch completed; killed; no valid comparison possible
F1,unfreeze ln_post+proj (D3 init),linear,false,3e-4,1e-5,0,a0,50,0.8013,invalid_stage_leakage,per_experiment_split,D3,8902/10116 (88.0%),DELETED: +9.60pp vs D3 BUT val overlap=88%; output dir removed
F1b,ln_post+proj + dropout 0.2 + low lr (D3 init),linear,false,1e-4,1e-5,0.2,a0,50,0.8013,invalid_stage_leakage,per_experiment_split,D3,8902/10116 (88.0%),DELETED: same leak as F1; output dir removed
F2,last block + ln_post+proj (F1 init),linear,false,1e-4,1e-5,0.2,a0,,,invalid_stage_leakage,per_experiment_split,F1,?,parent F1 has invalid results; paused
F2_d3,last block + ln_post+proj (D3 init),linear,false,1e-4,1e-5,0.2,a0,,,invalid_stage_leakage,per_experiment_split,D3,?,deferred until strict baselines established
F2_hi_bb,last block + ln_post+proj + bb_lr=3e-5 (F1 init),linear,false,1e-4,3e-5,0.2,a0,,,invalid_stage_leakage,per_experiment_split,F1,?,parent F1 has invalid results; paused
F2_no_drop,last block + ln_post+proj no dropout (F1 init),linear,false,1e-4,1e-5,0,a0,,,invalid_stage_leakage,per_experiment_split,F1,?,parent F1 has invalid results; paused
E0_STRICT,baseline on SHA-256 dedup master split,linear,true,5e-3,,0,a0,47,0.705409,valid,unified_master_split_sha256_dedup,,,clean rerun; 50 epochs; best epoch 47; D3-E0=+0.1163pp
D3_STRICT,dedup on SHA-256 dedup master split (train-only clean),linear,true,5e-3,,0,a0,49,0.706572,valid_seed42_pending_multiseed,unified_master_split_sha256_dedup,,,reeval micro=0.706572 macro=0.706100 gap=0.000473; platform=57.3397%
F0_STRICT,frozen continue from D3-strict (SHA-256 split),linear,true,3e-4,,0,a0,5,0.706378,control_complete_no_gain,unified_master_split_sha256_dedup,D3_STRICT,0/10316 (0%),seed=42; reeval micro=0.706378 macro=0.705939 gap=0.000439; epoch-0 gate PASSED; early stop@15; no gain vs D3
F1_STRICT,ln_post+proj from D3-strict (SHA-256 split),linear,false,3e-4,1e-5,0,a0,4,0.707832,below_gain_threshold,unified_master_split_sha256_dedup,D3_STRICT,0/10316 (0%),seed=42; reeval micro=0.707832 macro=0.707458 gap=0.000374; epoch-0 gate PASSED; +0.12pp vs D3 (gate +0.30pp); early stop@14
TA1_TTA_FLIP,horizontal flip TTA on D3 best.pt (no training),linear,true,,,,a0,,0.708026,active,unified_master_split_sha256_dedup,D3_STRICT,10316/10316 (100%),local micro +0.145pp macro +0.150pp; platform 58.3090% (+0.97pp vs D3 57.34%); 6.96% predictions changed; TTA validated as platform-effective
TA2_LOGIT_ADJ,class-prior logit adjustment sweep tau 0-1 (no training),linear,true,,,,a0,,0.706572,closed,unified_master_split_sha256_dedup,D3_STRICT,10316/10316 (100%),best tau=1.0; macro 0pp gain; class priors near-uniform (min=0.056% max=0.210%); no local benefit
